catedral_id,catedral_nombre,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,catedral_calle_numero,catedral_colonia,catedral_cp,catedral_telfono1,pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
15,"Nuestra Señora de Balvanera ",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Correo Mayor esq. Rep. de Uruguay","Centro Histórico","06010","","","",-99.13068,19.42982,"http://sic.gob.mx/ficha.php?table=catedral&table_id=15","2023-10-13 04:44:23-06"
18,"Porta Coeli",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Venustiano Carranza 107 ","Centro Histórico","06060","","http://www.elcentrohistorico.com.mx/lugares-templo-del-colegio-de-porta-coeli.html","",-99.13191,19.43055,"http://sic.gob.mx/ficha.php?table=catedral&table_id=18","2021-12-09 13:35:58-06"
21,"Catedral Basílica Menor de la Inmaculada Concepción ",10,"Durango",5,"Durango",1,"Victoria de Durango","Av. 20 de noviembre s/n","Zona Centro","34000","","","",-104.67036,24.02553,"http://sic.gob.mx/ficha.php?table=catedral&table_id=21","2018-12-13 06:22:18-06"
30,"Parroquia del Sagrado Corazón de Jesús - Sagrario Catedral",11,"Guanajuato",7,"Celaya",1,"Celaya","Francisco I. Madero 201","Centro","38000","","","",-100.81153,20.52287,"http://sic.gob.mx/ficha.php?table=catedral&table_id=30","2018-06-13 10:53:23-05"
29,"Catedral Basílica Metropolitana de la Madre Santísima de la Luz",11,"Guanajuato",20,"León",1,"León de los Aldama","Alvaro Obregón  113","Centro","37000","","","",-101.68187,21.12427,"http://sic.gob.mx/ficha.php?table=catedral&table_id=29","2018-06-13 10:47:31-05"
35,"Catedral de Nuestra Señora de la Soledad",12,"Guerrero",1,"Acapulco de Juárez",1,"Acapulco de Juárez","Independencia 1 esq. Quebrada","Centro","39715","","https://www.facebook.com/catedral.soledad","parroquiasoledadacapulco@hotmail.com",-99.90898,16.84911,"http://sic.gob.mx/ficha.php?table=catedral&table_id=35","2023-10-26 04:04:46-06"
33,"Santa María de la Asunción",12,"Guerrero",28,"Chilapa de Álvarez",1,"Chilapa de Álvarez","Insurgentes esq. José María Andraca","","","","","",-99.178,17.59231,"http://sic.gob.mx/ficha.php?table=catedral&table_id=33","2018-12-10 07:32:32-06"
32,"La Asunción de María",12,"Guerrero",29,"Chilpancingo de los Bravo",1,"Chilpancingo de los Bravo","Abasolo 2","Centro","39000","","","",-99.50105,17.55272,"http://sic.gob.mx/ficha.php?table=catedral&table_id=32","2023-10-11 02:31:06-06"
31,"Catedral Fray Juan Bautista Moya",12,"Guerrero",50,"Pungarabato",1,"Ciudad Altamirano","Av. Vicente Guerrero s/n.","Centro","40660","","","",-100.66665,18.36255,"http://sic.gob.mx/ficha.php?table=catedral&table_id=31","2018-12-10 07:57:49-06"
34,"San Agustín",12,"Guerrero",66,"Tlapa de Comonfort",1,"Tlapa de Comonfort","Fonseca esq. con Galvéz","Centro","41300","","https://www.facebook.com/catedralSanAgustinTlapa","sr_del_nicho@outlook.com",-98.58172,17.54852,"http://sic.gob.mx/ficha.php?table=catedral&table_id=34","2023-09-26 08:40:45-06"
36,"San Agustín",13,"Hidalgo",28,"Huejutla de Reyes",1,"Huejutla de Reyes","Domicilio conocido     ","Centro","43000","","","",-98.41821,21.14071,"http://sic.gob.mx/ficha.php?table=catedral&table_id=36","2018-12-10 08:37:42-06"
37,"San José",13,"Hidalgo",76,"Tula de Allende",1,"Tula de Allende","5 de Mayo núm. 5","","42800","","","",-99.34292,20.05511,"http://sic.gob.mx/ficha.php?table=catedral&table_id=37","2018-12-13 06:27:10-06"
38,"Nuestra Señora de los Ángeles",13,"Hidalgo",77,"Tulancingo de Bravo",1,"Tulancingo","Cda. de Echavarri 213","Centro","43600","","https://www.facebook.com/parroquiaangelitostulancingo/?locale=es_LA","parroangelitostulancingo@gmail.com",-98.36438,20.08277,"http://sic.gob.mx/ficha.php?table=catedral&table_id=38","2023-10-10 06:37:43-06"
41,"Catedral Santísima Trinidad",14,"Jalisco",15,"Autlán de Navarro",1,"Autlán de Navarro","Calle M. Hidalgo 74","Centro","48900","","","",-104.36397,19.77272,"http://sic.gob.mx/ficha.php?table=catedral&table_id=41","2018-12-10 10:12:20-06"
42,"Señor San José",14,"Jalisco",23,"Zapotlán el Grande",1,"Ciudad Guzmán","Prisciliano Sánchez 30","Centro","49000","","","",-103.46307,19.70349,"http://sic.gob.mx/ficha.php?table=catedral&table_id=42","2023-11-03 06:43:22-06"
40,"La Asunción de María",14,"Jalisco",39,"Guadalajara",1,"Guadalajara","Av. Fray Antonio Alcalde 10","Centro","44100","","https://www.facebook.com/CATEDRALGUADALAJARA.ORG/?locale=es_LA","catedralbasilicagdl@gmail.com",-103.347,20.67707,"http://sic.gob.mx/ficha.php?table=catedral&table_id=40","2023-10-11 06:34:39-06"
39,"Nuestra Señora de San Juan de los Lagos (Catedral-Basílica)",14,"Jalisco",73,"San Juan de los Lagos",1,"San Juan de los Lagos","Calle 5 s/n","Centro","47000","","","",-102.33396,21.24531,"http://sic.gob.mx/ficha.php?table=catedral&table_id=39","2023-09-20 08:35:53-06"
22,"San Francisco de Asis",15,"México",14,"Atlacomulco",1,"Atlacomulco de Fabela","Alfredo del Mazo Ote. s/n","Centro","50450","","","",-99.8705,19.8012,"http://sic.gob.mx/ficha.php?table=catedral&table_id=22","2018-06-13 10:20:38-05"
24,"San Buenaventura",15,"México",24,"Cuautitlán",1,"Cuautitlán","Calle Carrillo Puerto 206","El Huerto","54807","","","",-99.17939,19.66907,"http://sic.gob.mx/ficha.php?table=catedral&table_id=24","2018-06-13 10:25:13-05"
26,"Sagrado Corazón de Jesús",15,"México",33,"Ecatepec de Morelos",1,"Ecatepec de Morelos","Plaza Principal s/n","San Cristóbal Centro","55000","","http://www.diocesis-ecatepec.org.mx","",-99.04665,19.59951,"http://sic.gob.mx/ficha.php?table=catedral&table_id=26","2018-12-13 06:23:02-06"
28,"Jesús Señor de la Misericordia",15,"México",58,"Nezahualcóyotl",1,"Ciudad Nezahualcóyotl","Av. Dr. Gustavo Baz 174","Col. Benito Juarez","57000","","https://www.facebook.com/CatedralMisericordiaNeza/","",-99.00063,19.40929,"http://sic.gob.mx/ficha.php?table=catedral&table_id=28","2023-10-13 04:10:25-06"
25,"Corpus Cristi",15,"México",104,"Tlalnepantla de Baz",1,"Tlalnepantla","Av Presidente Juárez s/n","Centro","54900","","","",-99.19483,19.5379,"http://sic.gob.mx/ficha.php?table=catedral&table_id=25","2018-12-13 06:21:15-06"
23,"San José",15,"México",106,"Toluca",1,"Toluca de Lerdo","Independencia s/n <br>Centro","Centro","50000","","http://www.diocesistoluca.org.mx/","catedral@diocesistoluca.org.mx ",-99.65725,19.29182,"http://sic.gob.mx/ficha.php?table=catedral&table_id=23","2018-06-13 10:39:57-05"
48,"Nuestra Señora de la Asunción",16,"Michoacán de Ocampo",6,"Apatzingán",1,"Apatzingán de la Constitución","Esteban Vaca Calderón 1 Ote. (Constitución de 1814 sur)","Centro","60600","","http://web.archive.org/web/20090520100553/http://apatzingan.com.mx/historia/iahistc.html","",-102.354,19.08615,"http://sic.gob.mx/ficha.php?table=catedral&table_id=48","2018-12-10 10:50:39-06"
49,"Catedral Cristo Rey",16,"Michoacán de Ocampo",52,"Lázaro Cárdenas",1,"Ciudad Lázaro Cárdenas","Av. Autonomía Universitaria 15","Col. Fideicomiso 2° sector","60953","","https://www.facebook.com/p/Catedral-Cristo-Rey-100078439662617/?locale=es_LA","",-102.20808,17.9631,"http://sic.gob.mx/ficha.php?table=catedral&table_id=49","2023-10-17 05:34:30-06"
46,"San Salvador",16,"Michoacán de Ocampo",53,"Morelia",1,"Morelia","Av. Francisco I. Madero Poniente","Centro","58000","","","",-101.19238,19.70232,"http://sic.gob.mx/ficha.php?table=catedral&table_id=46","2018-12-13 07:00:47-06"
47,"San Jerónimo",16,"Michoacán de Ocampo",82,"Tacámbaro",1,"Tacámbaro de Codallos","Artículo 123","Centro"," 61650","","","",-101.45726,19.23571,"http://sic.gob.mx/ficha.php?table=catedral&table_id=47","2018-12-13 06:53:32-06"
43,"San Martín de Tours",16,"Michoacán de Ocampo",108,"Zamora",1,"Zamora de Hidalgo","Hidalgo s/n ","Col. Zamora de Hidalgo"," 59600","","","",-102.28495,19.98355,"http://sic.gob.mx/ficha.php?table=catedral&table_id=43","2018-12-13 06:28:59-06"
51,"La Sagrada Familia",18,"Nayarit",9,"Del Nayar",1,"Jesús María","Domicilio Conocido","Centro","63530","","","",-104.51714,22.25063,"http://sic.gob.mx/ficha.php?table=catedral&table_id=51","2023-10-12 03:26:33-06"
52,"Nuestra Señora de la Asunción ",18,"Nayarit",17,"Tepic",1,"Tepic","México Nte. esq. Sebastían Lerdo de Tejada","","","","","",-104.8913,21.51186,"http://sic.gob.mx/ficha.php?table=catedral&table_id=52","2018-12-13 07:02:31-06"
54,"Catedral San Felipe Apóstol",19,"Nuevo León",33,"Linares",1,"Linares","Hidalgo s/n esq. Morelos","Centro","67700","","","catedral.linares@hotmail.com",-99.56821,24.85926,"http://sic.gob.mx/ficha.php?table=catedral&table_id=54","2023-10-24 06:30:45-06"
53,"Catedral Metropolitana de Nuestra Señora de Monterrey",19,"Nuevo León",39,"Monterrey",1,"Monterrey","Zuazua 1100 Sur","Centro","64000","","","catedral@arquidiocesismty.org",-100.3096,25.66554,"http://sic.gob.mx/ficha.php?table=catedral&table_id=53","2019-12-30 07:54:36-06"
5,"San Juan Bautista",20,"Oaxaca",39,"Heroica Ciudad de Huajuapan de León",1,"Heroica Ciudad de Huajuapan de León","Valerio Trujano s/n","Centro","69000","","","",-97.77535,17.80713,"http://sic.gob.mx/ficha.php?table=catedral&table_id=5","2018-12-13 07:17:43-06"
6,"Catedral San Juan Evangelista",20,"Oaxaca",41,"Huautla de Jiménez",1,"Huautla de Jiménez","Domicilio conocido","Centro","68500 ","","","",-96.84631,18.13014,"http://sic.gob.mx/ficha.php?table=catedral&table_id=6","2023-09-27 08:28:10-06"
20,"La Asunción (San Marcial) ",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","Av. Independencia 700","Centro","68000","","","",-96.72522,17.06156,"http://sic.gob.mx/ficha.php?table=catedral&table_id=20","2018-12-13 07:11:48-06"
17,"Catedral San Juan Bautista (en construcción)",20,"Oaxaca",184,"San Juan Bautista Tuxtepec",1,"San Juan Bautista Tuxtepec","Vicente Guerrero 164","Centro","68300","","https://www.facebook.com/profile.php?id=100067093437292","",-96.11727,18.08137,"http://sic.gob.mx/ficha.php?table=catedral&table_id=17","2023-10-24 09:12:17-06"
44,"San Pedro y San Pablo",20,"Oaxaca",337,"San Pedro y San Pablo Ayutla",1,"San Pedro y San Pablo Ayutla","E'px Yukp s/n","Centro","70283","","","",-96.07598,17.02807,"http://sic.gob.mx/ficha.php?table=catedral&table_id=44","2023-09-28 08:09:17-06"
50,"Catedral de San Pedro",20,"Oaxaca",515,"Santo Domingo Tehuantepec",1,"Santo Domingo Tehuantepec","Mina s/n","Centro","70760","","","",-95.2312,16.33336,"http://sic.gob.mx/ficha.php?table=catedral&table_id=50","2023-11-22 08:56:26-06"
99,"Catedral de Santa María de la Asunción",21,"Puebla",174,"Teziutlán",1,"Teziutlán","Av. Miguel Hidalgo 700","Centro","73800","","","catedralteziutlan@hotmail.com",-97.36008,19.81744,"http://sic.gob.mx/ficha.php?table=catedral&table_id=99","2023-10-02 03:04:08-06"
57,"San Felipe Neri",22,"Querétaro",14,"Querétaro",1,"Santiago de Querétaro","Av.Francisco I. Madero s/n esq. Melchor Ocampo","Centro Histórico","76000","","","",-100.39657,20.59122,"http://sic.gob.mx/ficha.php?table=catedral&table_id=57","2023-12-05 04:29:17-06"
58,"Santísima Trinidad",23,"Quintana Roo",5,"Benito Juárez",1,"Cancún","Av. Puertos (entre Av. Kabah y Av. La Costa)","","58960","","https://www.facebook.com/catedralSTcancun/?rf=329026383844014","catedral_santisimatrinidad@hotmail.com",-86.84243,21.15734,"http://sic.gob.mx/ficha.php?table=catedral&table_id=58","2021-09-01 09:26:11-05"
61,"Nuestra Señora de Guadalupe",24,"San Luis Potosí",13,"Ciudad Valles",1,"Ciudad Valles","16 de Septiembre 726","Centro","79000","","http://catedraldevalles.com/","",-99.01332,21.98854,"http://sic.gob.mx/ficha.php?table=catedral&table_id=61","2018-10-03 09:36:02-05"
59,"Catedral de Matehuala",24,"San Luis Potosí",20,"Matehuala",1,"Matehuala","Benito Juárez García 402","Centro","78700","","http://www.iglesiapotosina.org/","",-100.64413,23.64634,"http://sic.gob.mx/ficha.php?table=catedral&table_id=59","2023-10-26 06:24:36-06"
60,"Nuestra Señora de la Expectación",24,"San Luis Potosí",28,"San Luis Potosí",1,"San Luis Potosí","Jardín Hidalgo 6","Centro Histórico","78000","","","",-100.9758,22.15143,"http://sic.gob.mx/ficha.php?table=catedral&table_id=60","2019-04-09 05:24:56-05"
62,"Nuestra Señora del Rosario",25,"Sinaloa",6,"Culiacán",1,"Culiacán Rosales"," Av. Obregón s/n esq. Miguel Hidalgo"," Centro","80000","","","",-107.39398,24.80873,"http://sic.gob.mx/ficha.php?table=catedral&table_id=62","2023-09-21 07:11:07-06"
63,"Purísima Concepción",25,"Sinaloa",12,"Mazatlán",1,"Mazatlán"," 21 de Marzo s/n","Centro","82000","","","",-106.42182,23.20078,"http://sic.gob.mx/ficha.php?table=catedral&table_id=63","2018-12-13 08:26:32-06"
65,"Corazón Sacratísimo de Jesús",26,"Sonora",18,"Cajeme",1,"Ciudad Obregón","Sonora 166 Nte.","Centro","85000","","","",-109.93337,27.49743,"http://sic.gob.mx/ficha.php?table=catedral&table_id=65","2018-12-13 08:31:43-06"
64,"Nuestra Señora de la Asunción",26,"Sonora",30,"Hermosillo",1,"Hermosillo"," Blvr. Miguel Hidalgo s/n","Centro","83000","","","catedralhmo@gmail.com",-110.95962,29.0751,"http://sic.gob.mx/ficha.php?table=catedral&table_id=64","2023-10-16 04:25:52-06"
66,"Catedral del Señor de Tabasco",27,"Tabasco",4,"Centro",1,"Villahermosa","Av. 27 de Febrero esq. Av. Paseo Tabasco","Centro, Villahermosa, ","86070","","https://www.facebook.com/Catedral-del-Se%C3%B1or-de-Tabasco-274007409315957/","",-92.92814,17.98946,"http://sic.gob.mx/ficha.php?table=catedral&table_id=66","2023-12-01 08:42:18-06"
68,"Nuestra Señora del Refugio",28,"Tamaulipas",22,"Matamoros",1,"Heroica Matamoros","Calle 5 entre Morelos y González (frente a la Plaza Hidalgo)","Centro","89300","","","",-97.50748,25.88563,"http://sic.gob.mx/ficha.php?table=catedral&table_id=68","2018-12-13 08:39:35-06"
67,"Catedral del Espíritu Santo",28,"Tamaulipas",27,"Nuevo Laredo",1,"Nuevo Laredo","Veracruz 2531","Col. Francisco I. Madero","88270","","https://test.diocesisnuevolaredo.org/parroquias/catedral-del-espiritu-santo/","catedralnuevoldo@hotmail.com",-99.50641,27.46807,"http://sic.gob.mx/ficha.php?table=catedral&table_id=67","2023-10-04 07:06:05-06"
70,"Catedral Inmaculada Concepción",28,"Tamaulipas",38,"Tampico",1,"Tampico","Carranza 101 Ote.","Centro","89000","","https://es.wikipedia.org/wiki/Catedral_de_Tampico","",-97.85737,22.21642,"http://sic.gob.mx/ficha.php?table=catedral&table_id=70","2023-10-09 07:12:49-06"
69,"Sagrado Corazón de Jesús",28,"Tamaulipas",41,"Victoria",1,"Ciudad Victoria","Manuel González Jr. s/n","Centro","87000","","","",-99.15057,23.73162,"http://sic.gob.mx/ficha.php?table=catedral&table_id=69","2023-09-27 06:53:19-06"
86,"Nuestra Señora de la Asunción",29,"Tlaxcala",33,"Tlaxcala",1,"Tlaxcala de Xicohténcatl","Calz. de San Francisco s/n","Centro","09000","","http://www.turismotlaxcala.com/que-hacer/iglesias/nuestra_senora_de_la_asuncion.htm","",-98.23779,19.31388,"http://sic.gob.mx/ficha.php?table=catedral&table_id=86","2018-12-13 08:54:32-06"
78,"San José",30,"Veracruz de Ignacio de la Llave",39,"Coatzacoalcos",1,"Coatzacoalcos","AV. Ignacio Zaragoza 400","Centro","96400","","https://www.facebook.com/CatedralSanJoseCoatza?locale=es_LA","",-94.41603,18.14648,"http://sic.gob.mx/ficha.php?table=catedral&table_id=78","2023-10-13 06:02:50-06"
75,"Inmaculada Concepción",30,"Veracruz de Ignacio de la Llave",44,"Córdoba",1,"Córdoba","Calle 1","Centro","94500","","","",-96.9341,18.89343,"http://sic.gob.mx/ficha.php?table=catedral&table_id=75","2018-12-11 05:59:39-06"
73,"Inmaculada Concepción",30,"Veracruz de Ignacio de la Llave",87,"Xalapa",1,"Xalapa-Enríquez","Juan de La Luz Enríquez s/n","Centro","91000","","","",-96.92292,19.52753,"http://sic.gob.mx/ficha.php?table=catedral&table_id=73","2019-04-05 09:57:16-06"
74,"San Miguel Arcángel",30,"Veracruz de Ignacio de la Llave",118,"Orizaba",1,"Orizaba","Francisco I. Madero Nte. 88","Centro","94300","","https://es.wikipedia.org/wiki/Catedral_de_Orizaba","",-97.10487,18.84961,"http://sic.gob.mx/ficha.php?table=catedral&table_id=74","2023-09-26 04:18:05-06"
72,"Nuestra Señora de la Asunción",30,"Veracruz de Ignacio de la Llave",124,"Papantla",1,"Papantla de Olarte","16 de Septiembre 216","Centro","93400","","","",-97.32184,20.4459,"http://sic.gob.mx/ficha.php?table=catedral&table_id=72","2018-12-11 06:33:59-06"
77,"San José y San Andrés",30,"Veracruz de Ignacio de la Llave",141,"San Andrés Tuxtla",1,"San Andrés Tuxtla","Belisario Domínguez 1","Centro","95700","","","",-95.21169,18.44861,"http://sic.gob.mx/ficha.php?table=catedral&table_id=77","2023-10-02 03:08:48-06"
71,"Nuestra Señora de la Asunción",30,"Veracruz de Ignacio de la Llave",189,"Tuxpan",1,"Túxpam de Rodríguez Cano","Av. Benito Juárez 30","Centro","92800","","","",-97.40486,20.95245,"http://sic.gob.mx/ficha.php?table=catedral&table_id=71","2018-12-11 07:19:34-06"
76,"Nuestra Señora de la Asunción",30,"Veracruz de Ignacio de la Llave",193,"Veracruz",1,"Veracruz","Mario Molina 173 ","Centro","91700","","","",-96.13827,19.1998,"http://sic.gob.mx/ficha.php?table=catedral&table_id=76","2017-04-24 16:31:21-05"
80,"Catedral de San Ildefonso",31,"Yucatán",50,"Mérida",1,"Mérida","60 s/n esq. 61","Centro Histórico","97000","","","",-89.62284,20.96717,"http://sic.gob.mx/ficha.php?table=catedral&table_id=80","2018-12-13 10:49:42-06"
85,"Catedral basílica de Zacatecas (Nuestra Señora de los Zacatecas)",32,"Zacatecas",56,"Zacatecas",1,"Zacatecas","Av. Hidalgo 617","Centro","98000","","https://www.facebook.com/CatedralBasilicadeZacatecas/?locale=es_LA","",-102.57212,22.7755,"http://sic.gob.mx/ficha.php?table=catedral&table_id=85","2023-09-25 08:33:14-06"
