fonoteca_id,fonoteca_nombre,fonoteca_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,fonoteca_calle_numero,fonoteca_colonia,fonoteca_cp,fonoteca_telfono1,fonoteca_pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
23,"Fonoteca de Radio Educación","Secretaría de Cultura",9,"Ciudad de México",14,"Benito Juárez",1,"Benito Juárez","Ángel Urraza 622","Col. del Valle","03100","","","asolisb@cultura.gob.mx",-99.16935,19.38367,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=23","2025-01-13 11:49:44-06"
24,"Fonoteca Alejandro Gómez Arias","UNAM/Dirección General de Radio",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Lic. Verdad 2","Centro Histórico","06060","","","radio@unam.mx",-99.14402,19.44274,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=24","2023-12-06 07:11:55-06"
8,"Comisión Nacional para el Desarrollo de los Pueblos Indígenas","CNDI",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Oxford 30","Col. Juarez","06600","","","nzamora@inpi.gob.mx",-99.169,19.42489,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=8","2024-02-15 05:41:50-06"
21,"Fonoteca INAH","Secretaría de Cultura/INAH",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Córdoba 47","Col. Roma Norte","06700","","","musicatradicional@inah.gob.mx",-99.1596,19.42211,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=21","2023-11-22 06:51:56-06"
9,"Fonoteca Melesio Morales","Conservatorio Nacional de Música",9,"Ciudad de México",16,"Miguel Hidalgo",1,"Miguel Hidalgo","Av. Presidente Masarik 582","Polanco","11500","","","cnm.archivohistorico@inba.gob.mx; nami.rilo@gmail.com",-99.20682,19.43216,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=9","2018-08-07 06:36:14-05"
38,"Fonoteca de Jalisco","Universidad Autónoma de Guadalajara",14,"Jalisco",120,"Zapopan",1,"Zapopan","Periférico Norte Manuel Gómez Morín 1695","Col.Belenes","45100","","","rafael.villegas@udg.mx",-103.38147,20.73838,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=38","2024-08-28 16:47:57-06"
28,"Fonoteca del Sistema de Radio y Televisión Mexiquense","Sistema de Radio y Televisión Mexiquense",15,"México",54,"Metepec",1,"Metepec","Av. Estado de México Ote. 1601","Col. Llano Grande","52148","","","fonoradiomex2@gmail.com; jisolmtz@gmail.com",0,0,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=28","2018-07-26 09:34:46-05"
33,"Fonoteca Juan León Mariscal","Fundación Alfredo Harp Helú Oaxaca ",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","Av. Independencia 904/Av. Hidalgo 907 ","Centro","68000","","","fonoteca@fahho.mx",-96.72286,17.06145,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=33","2018-07-24 13:38:21-05"
16,"Fonoteca Eduardo Mata","Instituto de Artes Gráficas de Oaxaca IAGO",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","Av. Juárez 203 esq. Morelos y Mujica","Centro","68000","","","fonoteca.eduardomata@gmail.com",-96.72364,17.06284,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=16","2023-09-20 06:46:12-06"
25,"Vicente Teódulo  Mendoza","Organismo Público y Descentralizado Museos Puebla",21,"Puebla",114,"Puebla",1,"Heroica Puebla de Zaragoza","Francisco Villa 4 Ex-Fábrica La Constancia Mexicana","Col. Las fuentes","72110","","","complejo.laconstancia@puebla.gob.mx",-98.2349,19.09264,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=25","2025-05-23 12:31:38-06"
11,"Fonoteca Isaías Noriega de la Vega","Benemérita Universidad Autónoma de Puebla",21,"Puebla",114,"Puebla",1,"Heroica Puebla de Zaragoza","8 Ote. 409","Centro Histórico","72000","","","fonoteca.buap@hotmail.com",-98.19313,19.04565,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=11","2019-04-23 11:20:01-05"
37,"Archivo Sonoro de Radio y Televisión Universitaria","Universidad Autónoma de San Luis Potosí (UASLP)",24,"San Luis Potosí",28,"San Luis Potosí",1,"San Luis Potosí","Mariano Arista 245","Centro Histórico","78000","","","ubaldocr@uaslp.mx",-100.97794,22.15313,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=37","2024-03-15 07:30:24-06"
34,"Fonoteca de Radio UV","Universidad Veracruzana (UV)",30,"Veracruz de Ignacio de la Llave",87,"Xalapa",1,"Xalapa-Enríquez","Francisco Javier Clavijero 24","Zona Centro","91000","","","radio@uv.mx; fguevara@uv.mx; holaradio@uv.mx",-96.92444,19.5296,"http://sic.gob.mx/ficha.php?table=fonoteca&table_id=34","2025-04-04 14:04:19-06"
