galeria_id,galeria_nombre,galeria_fecha_fundacion,galeria_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,galeria_calle_numero,galeria_colonia,galeria_cp,galeria_telefono1,pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
344,"Galería de la Ciudad","1989-01-01","Secretaría de Cultura/Instituto de Cultura de Baja California",2,"Baja California",3,"Tecate",1,"Tecate","Pte. Ortíz Rubio s/n esq. Callejón Libertad ","Centro","21400","665  654 14 83","http://www.icbc.gob.mx/Conocenos/NuestrosEspacios"," tecateicbc@baja.gob.mx",-116.62646,32.57279,"http://sic.gob.mx/ficha.php?table=galeria&table_id=344","2022-03-23 04:52:05-06"
1541,"Galería de Arte Alfonso Bustamante L.","2018-11-29","Grand Hotel Tijuana",2,"Baja California",4,"Tijuana",1,"Tijuana","Blvd. Agua Caliente 4558,  Plaza Agua ","Col. Aviación","22014","664 681 70 00","https://grandhoteltj.com.mx/about-us/","general@grandhotel.com",-117.00765,32.51279,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1541","2024-10-31 11:25:15-06"
1270,"Sala Marta Palau","2020-03-11","Centro Cultural Tijuana",2,"Baja California",4,"Tijuana",1,"Tijuana","Paseo de los Héroes 9350","Zona Urbana Río Tijuana","22010"," 664 687 9600","http://cecutmx.blogspot.com/2022/08/la-sala-marta-palau-es-sede-de-la.html","",-117.02332,32.53015,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1270","2024-11-01 11:19:22-06"
717,"Galería de Distrito-10 ","2008-06-26","",2,"Baja California",4,"Tijuana",1,"Tijuana","Av. Hipódromo 15E","Col. Hipódromo","22020","664 686 16 37","","distrito10ea@gmail.com",-116.99937,32.50602,"http://sic.gob.mx/ficha.php?table=galeria&table_id=717","2024-11-01 11:17:40-06"
686,"Object","2014-06-28","Plataforma Mexicana de Diseño S. de R.L. de C.V.",2,"Baja California",4,"Tijuana",1,"Tijuana","Amado Paniagua 3017","Col. Aviación","22014","664 685 15 95","http://objectmexico.com","info@objectmexico.com",-117.01166,32.51656,"http://sic.gob.mx/ficha.php?table=galeria&table_id=686","2024-10-31 11:19:40-06"
666,"Galería El Cubo","2008-09-27","Secretaria de Cultura/Centro Cultural Tijuana (CECUT)",2,"Baja California",4,"Tijuana",1,"Tijuana","Av.  Paseo de los Héroes 9350","Zona Urbana Río Tijuana","22010","664 687 9652","https://www.cecut.gob.mx/ecubo.php","opina@cecut.gob.mx",-117.02328,32.52948,"http://sic.gob.mx/ficha.php?table=galeria&table_id=666","2024-10-31 11:46:05-06"
1450,"Galería Espacio 5","2015-07-01","Antiguo Palacio Municipal de Tijuana/Instituto Municipal de Arte y Cultura",2,"Baja California",4,"Tijuana",1,"Tijuana","Calle 2a. y Constitución s/n","Centro","22000","664 688 17 21 ext. 118","https://imac.tijuana.gob.mx/galerias.aspx","difusionimac@gmail.com; arteyculturapopular.imac@gmail.com",-117.03897,32.53541,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1450","2023-07-28 06:48:27-06"
707,"Sala de Arte Álvaro Blancarte","2007-12-13","UABC/Escuela de Artes",2,"Baja California",4,"Tijuana",1,"Tijuana","Calz. Universidad 14418","Parque Industrial Internacional","22390","664 979 75 00 ext. 55607 y 53190","https://cultura.uabc.mx/cultura/galeria/sala-de-arte-alvaro-blancarte/","saabgalerias@hotmail.com; manuelfreeman@uabc.edu.mx",-116.96302,32.53188,"http://sic.gob.mx/ficha.php?table=galeria&table_id=707","2024-11-01 11:30:58-06"
354,"Galería Principal ","2000-01-01","Instituto de Cultura de Baja California ",2,"Baja California",4,"Tijuana",1,"Tijuana","Av. Centenario 10151","Zona Urbana Río Tijuana","22320","664 684 86 09","https://www.cecut.gob.mx/sis/galerias/icbc.php","tijuanaicbc@bajacalifornia.gob.mx",-117.01699,32.53155,"http://sic.gob.mx/ficha.php?table=galeria&table_id=354","2024-11-01 13:19:59-06"
351,"Galería Picasso","1974-01-01","",2,"Baja California",4,"Tijuana",1,"Tijuana","Blvd. Díaz Ordaz 1331-2","Col. La Mesa","22450","664 621 6531","http://www.galeriapicasso.com/","galeriapicasso1@hotmail.com; info@galeriapicasso.com",-116.97965,32.50554,"http://sic.gob.mx/ficha.php?table=galeria&table_id=351","2024-10-31 10:37:54-06"
740,"Galería de Arte de la Ciudad","2006-11-17","Palacio de la Cultura / IMAC",2,"Baja California",4,"Tijuana",1,"Tijuana","Benito Juárez s/n, esq. Constitución","Centro","22000","664  688 17 21","https://www.cecut.gob.mx/sis/galerias/ciudad.php","palaciocultura@imactijuana.org; palacio_cultura_tijuana@hotmail.com",-117.0389,32.53491,"http://sic.gob.mx/ficha.php?table=galeria&table_id=740","2023-07-28 06:42:16-06"
350,"Galería Benjamín Serrano","1988-07-22","Instituto Municipal de Arte y Cultura de Tijuana (IMAC)/Casa de la Cultura de Tijuana",2,"Baja California",4,"Tijuana",1,"Tijuana","C. Lisboa 5","Col. Altamira","22054","664 687 2604","https://www.cecut.gob.mx/sis/galerias/benjamin.php","imac.casaculturatj@gmail.com",-117.05227,32.53216,"http://sic.gob.mx/ficha.php?table=galeria&table_id=350","2024-12-13 11:10:47-06"
44,"Sala Central de Exposiciones del CECUT","1982-10-20","Secretaría de Cultura/Centro Cultural Tijuana",2,"Baja California",4,"Tijuana",1,"Tijuana","Paseo de los Héroes 9350 ","Zona Urbana Río Tijuana","22010","664 687 9652","https://www.cecut.gob.mx/exposiciones.php","exposiciones@cecut.gob.mx",-117.02302,32.5301,"http://sic.gob.mx/ficha.php?table=galeria&table_id=44","2024-10-31 11:37:36-06"
626,"La Caja Galería","2005-06-10","La Caja Galería, A.C.",2,"Baja California",4,"Tijuana",1,"Tijuana","Cjón. de las Moras 118-B","Col. 20 de Noviembre","22450","664 686 67 91","http://www.lacajagaleria.com","info@lacajagaleria.com",-116.99667,32.51295,"http://sic.gob.mx/ficha.php?table=galeria&table_id=626","2024-11-01 12:49:41-06"
1186,"Galería de Arte del CEART de Tijuana","2013-04-19","Instituto de Cultura de Baja California",2,"Baja California",4,"Tijuana",1,"Tijuana","Vía Rápida Oriente 15320","Zona Río 3a. Etapa","22226","664 104 02 73","","icbc.cearttijuana@gmail.com",-116.94578,32.49972,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1186","2023-06-16 07:38:19-06"
703,"Carmen Saltiel Gallery","2021-06-13","",2,"Baja California",4,"Tijuana",1,"Tijuana"," Calle 9 y Calle Ignacio Zaragoza 8960-Local 7","Centro","22000","664 207 8310","","carmensaltielgallery@gmail.com",-117.02902,32.52761,"http://sic.gob.mx/ficha.php?table=galeria&table_id=703","2023-07-28 06:32:38-06"
1700,"Galería de la Casa del Túnel","2018-02-17","Culturalmente Responsable, A.C.",2,"Baja California",4,"Tijuana",1,"Tijuana","Calle Chapo Márquez 133","Col. Empleados Federales","22010","664 682 95 70","","culturebeatmexico@gmail.com",-117.03247,32.54198,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1700","2024-11-01 13:06:52-06"
1962,"Baja Art & Tango Studio","1000-01-01","",2,"Baja California",5,"Playas de Rosarito",1,"Playas de Rosarito","Carret.Ensenada-Tijuana 288","","22713","661 107 99 74","","",-117.04139,32.30168,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1962","2022-10-21 05:34:49-05"
1669,"Galería  Internacional","2015-04-16","CEART/instituto de Baja California",2,"Baja California",5,"Playas de Rosarito",1,"Playas de Rosarito","Paseo La Cascada s/n","Fracc. La Cascada","22710","686  553 69 51","","ceartrosarito@gmail.com",-117.04084,32.30491,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1669","2023-07-28 06:35:50-06"
2090,"Galeria Unicbc","2023-04-21","Instituto Superior de Inv. y Posgrado de Baja California",2,"Baja California",5,"Playas de Rosarito",1,"Playas de Rosarito","Antonio I. Villareal 343","Ampliación Reforma","22710","661 612 01 19","","unicbc.ros@gmail.com",-117.06373,32.38194,"http://sic.gob.mx/ficha.php?table=galeria&table_id=2090","2023-06-13 07:22:48-06"
1797,"Puerto Nuevo Gallery","1000-01-01","",2,"Baja California",5,"Playas de Rosarito",90,"Puerto Nuevo","Paseo del Mar 30","Centro","22703","661 614 04 19 ","","Puertonuevogallery@gmail.com",-116.93563,32.24226,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1797","2023-07-28 08:01:53-06"
2117,"Galería Salón Cultural Rafaela Vizcaíno","1000-01-01","Ayuntamiento de Comondú/Dirección de Arte y Cultura de Comondú",3,"Baja California Sur",1,"Comondú",1,"Ciudad Constitución","Blvd. Agustín Olachea Avilés s/n entre Álvaro Obregón y Nicolás Bravo","Centro","23600","613 118 71 77","","arteyculturacomondu@outlook.es",-111.67454,25.03319,"http://sic.gob.mx/ficha.php?table=galeria&table_id=2117","2024-02-23 07:33:27-06"
1548,"Salón de la Plástica Sudcaliforniana","2010-09-13","Centro Cultural La Paz",3,"Baja California Sur",3,"La Paz",1,"La Paz","Calle 16 de Septiembre núm.  120","Centro","23000","612 122 00 65",""," centroculturalisc@gmail.com",-110.31538,24.16191,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1548","2023-08-01 05:14:47-06"
437,"Galería de Arte Carlos Olachea Boucsiéguez","1987-01-27","Instituto Sudcaliforniano de Cultura",3,"Baja California Sur",3,"La Paz",1,"La Paz","Navarro esq. Altamirano y Héroes de la Independencia","Centro","23000","612 122 91 96","https://culturabcs.gob.mx/recinto/9","galeriacarlosolachea@gmail.com",-110.31688,24.14834,"http://sic.gob.mx/ficha.php?table=galeria&table_id=437","2023-10-09 06:45:46-06"
2029,"Galería de Arte Edilicia","2022-07-26","Ayuntamiento de La Paz/Instituto Sudcaliforniano de Cultura",3,"Baja California Sur",3,"La Paz",1,"La Paz","Blvd. Padre Kino 1435","Col. Vicente Guerrero","23020"," 612 123 79 00","https://culturabcs.gob.mx/agenda/event/1217","",-110.30199,24.14649,"http://sic.gob.mx/ficha.php?table=galeria&table_id=2029","2023-08-01 04:25:35-06"
436,"Díaz Castro  Galería","1970-10-01","",3,"Baja California Sur",3,"La Paz",1,"La Paz","Calle 5 de Mayo 306 bis","Centro","23000","612 117 00 12","","diazcastroartista@gmail.com",-110.31335,24.16247,"http://sic.gob.mx/ficha.php?table=galeria&table_id=436","2022-03-31 04:43:51-06"
1549,"Índigo Galería de Arte Escuela","2017-11-01","",3,"Baja California Sur",3,"La Paz",1,"La Paz","Calle 5 de Mayo núm. 310","Centro","23305","612 128 72 80","","indigogaleriadearte@gmail.com",-110.31425,24.1614,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1549","2022-03-31 05:07:18-06"
1546,"Galería Casa Parra","2003-01-01","",3,"Baja California Sur",3,"La Paz",1,"La Paz","Independencia 413","Centro","23000","612 124 25 28","","info@casaparra.com.mx",-110.31411,24.16159,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1546","2023-10-27 07:39:54-06"
434,"Galería  La Pintada ","1990-01-16","Casa de Cultura del Estado de Baja California Sur",3,"Baja California Sur",3,"La Paz",1,"La Paz","Francisco I. Madero  825","Col. Esterito","23020","612 122 90 40","https://www.culturabcs.gob.mx/recinto/79","casaculturaedobcs@yahoo.com.mx ",-110.30981,24.16719,"http://sic.gob.mx/ficha.php?table=galeria&table_id=434","2022-03-31 04:47:38-06"
2039,"Galería de Arte del Hotel Guaycura","1000-01-01","Guaycura Boutique Hotel Beach Club & Spa",3,"Baja California Sur",3,"La Paz",3,"Todos Santos"," Calle Legaspi esq. Topete","Centro","23300","612 175 08 00","https://guaycura.com/es/galeria-de-arte/","",-110.22465,23.45121,"http://sic.gob.mx/ficha.php?table=galeria&table_id=2039","2023-08-01 04:23:15-06"
533,"Galería Logan","1998-01-15","",3,"Baja California Sur",3,"La Paz",3,"Todos Santos","Benito Juárez y Morelos","Centro","23300","612 145 01 51","http://www.jilllogan.com","jilllogan2001@yahoo.com",-110.22602,23.44864,"http://sic.gob.mx/ficha.php?table=galeria&table_id=533","2022-03-31 05:01:18-06"
1814,"Galería Enrique Guerrero La Paz","1997-10-10","Enrique Guerrero, S.A. de C.V.",3,"Baja California Sur",3,"La Paz",3,"Todos Santos","Horizonte s/n (next to Pacifica Fish Market)","Centro","23300","55 5280 2941","https://www.galeriaenriqueguerrero.com/","info@galeriaenriqueguerrero.com",-110.23457,23.45482,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1814","2025-02-24 12:34:17-06"
1509,"Galería de Todos Santos","1994-01-01","",3,"Baja California Sur",3,"La Paz",3,"Todos Santos","Calle Topete s/n","Centro","23300","612 145 05 00","http://www.galeriatodossantos.com/","mplcope@yahoo.com",-110.22015,23.45611,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1509","2022-03-31 05:00:40-06"
1904,"Kenny Viese Gallery & Studio","2020-01-01","",3,"Baja California Sur",3,"La Paz",3,"Todos Santos","La Cañada del Diablo, Doce Cuarenta Cafe"," Centro Histórico","23300"," 612 151 17 49","","",-110.20616,23.49737,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1904","2023-08-01 05:46:30-06"
2038,"Galería Militar","1000-01-01","",3,"Baja California Sur",3,"La Paz",3,"Todos Santos","Heroico Colegio Militar 120","Centro","23300","","https://www.galeriamilitar.com/","galeriamilitar.ts@gmail.com",-110.22258,23.44994,"http://sic.gob.mx/ficha.php?table=galeria&table_id=2038","2023-02-17 08:05:24-06"
1544,"Ivan Guadarrama Art Gallery","2010-01-01","",3,"Baja California Sur",8,"Los Cabos",1,"San José del Cabo","Alvaro Obregón 20","Centro","23400","624 189 11 44","http://www.ivanguaderrama.com/","info@ivanguaderrama.com ",-109.69703,23.06233,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1544","2023-08-01 04:41:46-06"
1547,"Galería  de Arte del Hotel Grand Velas","2019-05-13","Hotel Grand Velas",3,"Baja California Sur",8,"Los Cabos",1,"San José del Cabo"," Carret. Transpeninsular Km. 17","Corredor Turístico","23405","624 104 98 00","","",-109.71329,23.0322,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1547","2022-03-31 04:45:44-06"
1067,"Casa Dahlia Gallery","1999-01-01","",3,"Baja California Sur",8,"Los Cabos",1,"San José del Cabo","Morelos y Obregón","Centro","23400","624 142 21 20","https://casadahlia.com/","art@casadahlia.com ",-109.6965,23.06247,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1067","2023-08-01 03:40:55-06"
1909," Tequila Experience & Art Gallery","2000-01-01","",3,"Baja California Sur",8,"Los Cabos",1,"San José del Cabo","Carret.  Transpeninsular Km. 24.5 Local 11-12","Cerro Colorado","23400","624 243 24 72","","1tequila.av@gmail.com",-109.73385,23.00189,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1909","2023-08-01 03:37:36-06"
1232,"Galería Patricia Mendoza","2000-01-01","",3,"Baja California Sur",8,"Los Cabos",1,"San José del Cabo","Álvaro Obregón e Hidalgo","Centro","23400","624 158 64 97","","info@patriciamendozagallery.com",-109.69558,23.06289,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1232","2023-08-01 04:34:27-06"
1660,"Paquimé Gallery","2008-10-01","",3,"Baja California Sur",8,"Los Cabos",1,"San José del Cabo","Ignacio Comonfort  s/n esq. Idelfonso","Pueblo La Playa","23400","624 157 48 73","","mora@paquimegallery.com",-109.67169,23.06148,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1660","2022-03-31 05:17:12-06"
1552,"Old Town Gallery","2015-03-01","",3,"Baja California Sur",8,"Los Cabos",1,"San José del Cabo","Alvaro Obregón núm. 451","Centro","23400","624  688 98 56","","info@theoldtowngallery.com",-109.69708,23.06233,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1552","2023-08-01 05:08:37-06"
