casa_artesania_id,casa_artesania_nombre,casa_artesania_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,casa_artesania_calle_numero,casa_artesania_colonia,casa_artesania_cp,casa_artesania_telfono1,pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
53,"Casa de las Artesanías del Estado de Chihuahua","Gobierno del Estado de Chihuahua/Secretaría de Economía",8,"Chihuahua",19,"Chihuahua",1,"Chihuahua","Av. Niños Héroes 1101 esq. Universidad","Centro","31000","","","casartesaniaschihuahua@hotmail.com",-106.07859,28.63844,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=53","2025-01-13 09:40:00-06"
279,"Casa de las Artesanías Chomari","",8,"Chihuahua",27,"Guachochi",1,"Guachochi","   Adolfo López Mateos s/n","Centro","33180","","","",-107.06889,26.82068,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=279","2023-02-08 04:33:54-06"
277,"Casa Mejicú","Encantos Arte Mágico de México S.A. de C.V.",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Calz. de Tlalpan 2191 ","Col. Ciudad Jardín","04370","","https://casamejicu.com/","ventastlalpan@casamejicu.com   ",-99.14326,19.33864,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=277","2025-05-29 10:47:09-06"
249,"Casa de Artesanías Uriarte Talavera, Sucursal San Ángel","Arte en Talavera Casas y Uriarte, S.A. de C.V.",9,"Ciudad de México",10,"Álvaro Obregón",1,"Álvaro Obregón","Amargura 17","Col. San Ángel","01000","","http://www.uriartetalavera.com.mx/","rosamaria.howe@uriartetalavera.com.mx",-99.19206,19.3455,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=249","2017-05-12 10:48:53-05"
139,"Tienda de Artesanías IAIP, Sucursal Distrito Federal","Gobierno del Estado de Puebla/Instituto de Artesanías e Industrias Populares del Estado de Puebla",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Av. Chapultepec 494","Col. Roma Norte","06700","","http://www.iaip.pue.gob.mx","heimdaldf@hotmail.com",-99.17232,19.4213,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=139","2017-11-05 15:08:13-06"
31,"Tienda de Artesanías del Fonart, Sucursal Palacio Nacional","Fondo Nacional para el Fomento de las Artesanías",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Plaza de la Constitución s/n Patio Principal","Centro Histórico","06067","","http://www.fonart.gob.mx","tda_palacio@fonart.gob.mx",-99.13188,19.43246,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=31","2017-10-17 19:24:25-05"
38,"Tienda de Artesanías del Fonart<br>Tienda Reforma","Fondo Nacional para el Fomento de las Artesanías",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Av. Paseo de la Reforma 116-PB ","Col. Juárez","06600","","http://www.fonart.gob.mx","tda_reforma@fonart.gob.mx",-99.1565,19.43189,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=38","2017-10-17 14:22:19-05"
157,"Tienda del Museo de Arte Popular, Casa Matriz","Secretaría de Cultura/Gobierno de la CDMX/Asociación de Amigos del MAP",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Revillagigedo 11 esq. Independencia","Centro","06010","","https://www.tiendamap.com.mx/","tiendadelmap@gmail.com",-99.14635,19.43373,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=157","2017-10-27 07:24:17-05"
204,"La Canasta. Tienda de Artes de México"," Artes de México",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Córdoba 69","Col. Roma","06700","","https://www.facebook.com/pages/La-Canasta-Tienda-de-Artes-de-M%C3%A9xico/539289399484878","servicios.clientes@artesdemexico.com",-99.15918,19.42064,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=204","2017-10-18 12:48:06-05"
228,"Casa de Artesanías Uriarte Talavera, Sucursal Polanco","Arte en Talavera Casas y Uriarte, S.A. de C.V.",9,"Ciudad de México",16,"Miguel Hidalgo",1,"Miguel Hidalgo","Galileo 67 A","Col. Polanco","11550","","https://www.uriartetalavera.com.mx/","polanco@uriartetalavera.com.mx ",-99.19266,19.43121,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=228","2025-04-16 09:52:36-06"
283,"Casa de las artesanías y artesanos","Fondo Nacional para el Fomento de las Artesanías",9,"Ciudad de México",16,"Miguel Hidalgo",1,"Miguel Hidalgo","Parque Lira s/n","Bosque de Chapultepec I Secc.","11580","","https://www.facebook.com/LosPinos.Cultura?locale=es_LA","contactolospinos@cultura.gob.mx",-99.19024,19.40711,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=283","2023-03-23 06:38:13-06"
158,"Tienda del Museo de Arte Popular, Sucursal Polanco","Secretaría de Cultura Federal, Gobierno de la Ciudad de México, Asociación de Amigos del MAP",9,"Ciudad de México",16,"Miguel Hidalgo",1,"Miguel Hidalgo","Emilio Castelar 22 esq. Temístocles","Col. Polanco Chapultepec","11560","","http://www.tiendamap.com/index.php?route=product/category&path=98","tiendadelmap@gmail.com; direccion2@tiendamap.com.mx; karen.torres@tiendamap.com.mx",-99.19253,19.42916,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=158","2018-03-21 12:14:16-06"
21,"Tienda Permanente del Museo Nacional de Antropología","Secretaría de Cultura/INAH",9,"Ciudad de México",16,"Miguel Hidalgo",1,"Miguel Hidalgo","Av. Paseo de la Reforma s/n","Col. Polanco Chapultepec","11560","","http://www.tiendadelmuseo.com.mx","",-99.18588,19.42581,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=21","2017-10-17 14:20:05-05"
198,"Tienda de Artesanías del Fonart, Tienda Galerías 2 Aeropuerto Internacional de la Ciudad de México","Fondo Nacional para el Fomento de las Artesanías",9,"Ciudad de México",17,"Venustiano Carranza",1,"Venustiano Carranza","Av. Fuerza Aerea Mexicana s/n local IS-18 Sala de última espera internacional de la terminal 2 ","Col. Peñón de los Baños","15620","","","http://www.fonart.gob.mx",-99.07831,19.42379,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=198","2020-12-08 07:27:52-06"
119,"Tienda Casa de las Artesanías Chiapas AICM-T1","Gobierno del Estado, Instituto Casa Chiapas",9,"Ciudad de México",17,"Venustiano Carranza",1,"Venustiano Carranza","Aeropuerto Internacional de la Ciudad de México Terminal 1<br> Av. Cap. Carlos León s/n entre las Salas de Abordar 13 y 14","Col. Peñon de los Baños","15620","","https://casadelasartesaniaschiapas.gob.mx/","tiendaaicm@gmail.com",-99.08555,19.43409,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=119","2024-08-09 10:44:02-06"
58,"Casa de Artesanías Tlacuhilos","Universidad Juárez del Estado de Durango",10,"Durango",5,"Durango",1,"Victoria de Durango","Int. del Kiosco, Av. 20 de noviembre s/n, frente a la Catedral","Centro Histórico","34000","","http://www.ujed.mx/portal/publico/inicio.aspx","escueladepintura@yahoo.com.mx",-104.67026,24.024,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=58","2017-03-21 12:41:04-06"
295,"Cerámica María Dolores","",11,"Guanajuato",14,"Dolores Hidalgo Cuna de la Independencia Nacional",1,"Dolores Hidalgo Cuna de la Independencia Nacional","Av. 20 de noviembre 14","Col. Revolución","37800","","https://mariadoloresceramica.com.mx/","toolg55@yahoo.com.mx",-100.92406,21.15517,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=295","2024-10-21 13:42:59-06"
221,"Casa de Artesanías Guanajuato","Secretaría de Desarrollo Económico Sustentable",11,"Guanajuato",15,"Guanajuato",1,"Guanajuato","Plaza de la Paz 14","Centro","36000","","","sortiza@guanajuato.gob.mx",-101.25375,21.01637,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=221","2024-09-12 12:54:14-06"
199,"Artesanías Casa Museo Gene Byron","Particular",11,"Guanajuato",15,"Guanajuato",1,"Guanajuato","Ex Hacienda de Santa Ana, Real de Marfil s/n","Col. Marfil","36251","","http://www.museogenebyron.org/","genebyron_museo@yahoo.com; info@museogenebyron.org",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=199","2024-04-09 10:44:13-06"
212," Lupita¨s Boutique","",12,"Guerrero",38,"Zihuatanejo de Azueta",1,"Zihuatanejo","Calle Juan Alvarez  núm.5-A","Centro","40880","",""," Lupitamunoz1984@yahoo.com",-101.55674,17.63889,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=212","2023-11-24 06:02:06-06"
177,"Fruity Keiko Galería ","particular",12,"Guerrero",38,"Zihuatanejo de Azueta",1,"Zihuatanejo","Agustín Ramírez y Juan N. Alvarez","Centro","40880","","","fruttykeiko@gmail.com",-101.55631,17.63907,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=177","2023-11-24 05:59:03-06"
182,"Arte Mexicano Nopal","",12,"Guerrero",38,"Zihuatanejo de Azueta",1,"Zihuatanejo","Av. 5 de Mayo 56","Centro","40880","","http://www.lacasadetierra.com.mx/","rmonge@live.com.mx",-101.55881,17.63914,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=182","2021-07-16 10:25:45-05"
181,"Artesanias Sánchez","particular",12,"Guerrero",66,"Tlapa de Comonfort",1,"Tlapa de Comonfort","Morelos núm.123 B ","Centro","","","","",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=181","2017-05-02 12:22:50-05"
59,"Tienda Artesanal Hidarte","Gobierno del Estado, Secretaría de Desarrollo Social, Fomento Artesanal",13,"Hidalgo",48,"Pachuca de Soto",1,"Pachuca de Soto","Av. Juárez s/n  esq. Vicente Segura","Col. Periodistas","42060","","","araceli.islas@live.com.mx; irmafhuitron@hotmail.com",-98.74604,20.11604,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=59","2025-06-11 11:19:29-06"
40,"Casa de las Artesanías<br>Sucursal Ajijic","Instituto de la Artesanía Jalisciense",14,"Jalisco",30,"Chapala",2,"Ajijic","Km. 6.5, Carr. Jocotepec-Chapala ","Col. La Floresta","45920","","http://www.artesaniasjalisco.gob.mx/","rene.carrillo@artesaniasjalisco.gob.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=40","2015-02-10 11:50:22-06"
60,"Casa de las Artesanías<br>Sucursal Guadalajara","Instituto de la Artesanía Jalisciense",14,"Jalisco",39,"Guadalajara",1,"Guadalajara","Calz. González Gallo 20 ","Rincón del Agua Azul","44180","","https://www.jalisco.gob.mx/inicio","",-103.34802,20.66232,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=60","2024-04-05 12:24:41-06"
203,"Artesanías Finas de Teocaltiche","José Antonio Delgadillo",14,"Jalisco",91,"Teocaltiche",1,"Teocaltiche","Ramón Corona 5","Centro","47200","","","",-102.57542,21.43651,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=203","2024-06-24 14:05:07-06"
120,"Casa de las Artesanías<br>Sucursal Tlaquepaque","Instituto de la Artesanía Jalisciense",14,"Jalisco",98,"San Pedro Tlaquepaque",1,"Tlaquepaque","Independencia 237","Centro","45500","","https://sc.jalisco.gob.mx/patrimonio/museos/museo-regional-de-la-ceramica-de-tlaquepaque","ana.rosas@tlaquepaque.gob.mx; ceramicamuseo@gmail.com",-103.31482,20.63924,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=120","2024-09-17 13:00:42-06"
33,"Instituto Tonalteca de las Artesanías del Municipio de Tonalá","Ayuntamiento de Tonalá/Dirección de Cultura",14,"Jalisco",101,"Tonalá",1,"Tonalá","Constitución 104","Centro ","45400","","http://www.tonala.gob.mx","casadeartesanostonala@gmail.com; culturatonalamx@gmail.com",-103.24296,20.62685,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=33","2025-06-09 16:47:48-06"
293,"Tienda de Artesanías CASART, San Martín de las Pirámides","",15,"México",0,"Total de la entidad México",0,"Total de la Entidad","Museo de la Obsidiana y Biblioteca","Benito Juárez s/n, Centro","56600","","https://iifaem.edomex.gob.mx/tiendas","dgiifaem@edomex.gob.mx; artesanias@edomex.gob.mx",-98.83376,19.70504,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=293","2024-09-17 12:20:46-06"
162,"Casa de Artesanías de Acambay","Ayuntamiento de Cambay",15,"México",1,"Acambay de Ruíz Castañeda",41,"San Ildefonso (San Ildefonso Yolotepec)","Camino a San Indelfonso Yolotepec","Carr. Panamericana","50300","","","difeducacion_acambay@live.com.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=162","2021-08-09 08:52:22-05"
296,"Artesanías Nezahualcóyotl ","",15,"México",58,"Nezahualcóyotl",1,"Ciudad Nezahualcóyotl","Mariquita Linda 326","Col. Benito Juárez ","57000","","","artesaniasennezahualcoyotl@gmail.com",-99.00126,19.411,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=296","2024-10-29 08:53:36-06"
294,"Tienda de Artesanías CASART, Otumba","Gobierno del Estado de México/Instituto de Investigacíon y Fomento de las Artesanías del Estado de México",15,"México",65,"Otumba",1,"Otumba de Gómez Farías","Plaza de la Constitución 17","Centro","55900","","https://iifaem.edomex.gob.mx/tiendas","dgiifaem@edomex.gob.mx; artesanias@edomex.gob.mx",-98.7575,19.69985,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=294","2024-09-17 12:28:30-06"
290,"Tienda de Artesanías CASART, Tenancingo","Secretaría de Cultura y Turismo del Estado de México/Instituto de Investigación y Fomento de las Artesanías del Estado de México",15,"México",88,"Tenancingo",1,"Tenancingo de Degollado","Centro Regional de Cultura de Tenancingo, Paseo de los Insurgentes s/n","Barrio de la Trinidad","52400","","https://iifaem.edomex.gob.mx/tiendas","dgiifaem@edomex.gob.mx, artesanias@edomex.gob.mx",-99.5851,18.96391,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=290","2024-09-13 14:32:51-06"
286,"Tienda de Artesanías CASART Texcoco, Casa del Constituyente","Secretaría de Cultura y Turismo del Estado de México/Instituto de Investigación y Fomento de las Artesanías del Estado de México",15,"México",99,"Texcoco",1,"Texcoco de Mora","Centro Regional de Cultura de Texcoco, Nezahualcóyotl 206","Centro","56100","","https://iifaem.edomex.gob.mx/tiendas","dgiifaem@edomex.gob.mx, artesanias@edomex.gob.mx",-98.88052,19.51375,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=286","2024-09-13 13:01:43-06"
288,"Tienda de Artesanías CASART, Texcoco (Centro Cultural Mexiquense Bicentenario)","Secretaría de Cultura y Turismo del Estado de México/Instituto de Investigación y Fomento de las Artesanías del Estado de México",15,"México",99,"Texcoco",1,"Texcoco de Mora","Carretera Los Reyes Texcoco, km. 14.3","San Miguel","56250","","https://iifaem.edomex.gob.mx/tiendas","dgiifaem@edomex.gob.mx, artesanias@edomex.gob.mx",-98.89807,19.45341,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=288","2024-09-13 13:57:47-06"
289,"Tienda de Artesanías CASART, Parque de la Ciencia Fundadores","Gobierno del Estado de México/Instituto de Investigacíon y Fomento de las Artesanías del Estado de México",15,"México",106,"Toluca",1,"Toluca de Lerdo","Av. Sebastián Lerdo de Tejada","Centro","50000","","https://iifaem.edomex.gob.mx/tiendas","dgiifaem@edomex.gob.mx, artesanias@edomex.gob.mx",-99.65517,19.29397,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=289","2024-09-13 14:10:27-06"
173,"Tienda de Artesanías CASART  Aeropuerto Internacional de Toluca","Secretaría de Cultura y Turismo del Estado de México/Instituto de Investigación y Fomento de las Artesanías del Estado de México",15,"México",106,"Toluca",1,"Toluca de Lerdo","Int. del Aeropuerto Internacional del Estado de Toluca frente a llegadas Nacionales","Col. San Pedro Totoltepec","50226","","https://iifaem.edomex.gob.mx/tiendas","artesanías@edomex.gob.mx, dgiifaem@edomex.gob.mx",-99.57096,19.33856,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=173","2024-09-12 14:49:27-06"
292,"Tienda de Artesanías CASART, Chalco","Gobierno del Estado de México/Instituto de Investigacíon y Fomento de las Artesanías del Estado de México",15,"México",106,"Toluca",1,"Toluca de Lerdo","Centro Regional de  Cultura de Chalco","Cuauhtémoc 2, Centro","56600","","https://iifaem.edomex.gob.mx/tiendas","dgiifaem@edomex.gob.mx; artesanias@edomex.gob.mx",-98.8996,19.26339,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=292","2024-09-17 12:02:08-06"
220,"Tienda de Artesanías CASART, Toluca","Secretaría de Cultura y Turismo del Estado de México/Instituto de Investigación y Fomento de las Artesanías del Estado de México",15,"México",106,"Toluca",1,"Toluca de Lerdo","Paseo Tollocan 700 Ote., esq. Av. Urawa","Col. Izcalli IPIEM","50150","","https://iifaem.edomex.gob.mx/tiendas","artesanias@edomex.gob.mx",-99.63782,19.28541,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=220","2024-09-17 11:33:51-06"
287,"Tienda de Artesanías CASART, Museo Torres Bicentenario","Gobierno del Estado de México/Instituto de Investigacíon y Fomento de las Artesanías del Estado de México",15,"México",106,"Toluca",1,"Toluca de Lerdo","Intersección A. José María Morelos y Pavón, Paseo Tollocan y Av. Alfredo del Mazo s/n","Santa Ana Tlapaltitlán","50160","","https://iifaem.edomex.gob.mx/tiendas","dgiifaem@edomex.gob.mx, artesanias@edomex.gob.mx",-99.62911,19.28778,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=287","2024-09-13 13:28:58-06"
174,"Casa de Artesanías de Valle de Bravo","Gobierno del Estado de México/Instituto de Investigacíon y Fomento de las Artesanías del Estado de México",15,"México",110,"Valle de Bravo",109,"Tres Puentes","Fray Gregorio Jiménez de la Cuenca s/n","Col. Santa María Ahuacatlán","52560","","","artesanias@edomex.gob.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=174","2021-08-02 07:15:45-05"
165,"Casa de la Cultura de Angamacutiro","Ayuntamiento de Angamacutiro",16,"Michoacán de Ocampo",4,"Angamacutiro",1,"Angamacutiro de la Unión","Prolog. Juan Aldama 44 ","Popular Morelos","58550 ","","http://www.angamacutiro.gob.mx","culturaangamacutiro@hotmail.com",-101.71383,20.15254,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=165","2024-02-19 06:13:02-06"
7,"Casa de las Artesanías del Estado de Michoacán","Gobierno del Estado de Michoacán",16,"Michoacán de Ocampo",53,"Morelia",1,"Morelia","Fray Juan de San Miguel 129 esq. Humboldt","Centro","58000","","http://casart.gob.mx","casart@michoacan.gob.mx; rafael.paz@michoacan.gob.mx",-101.18878,19.70136,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=7","2017-03-21 12:44:45-06"
128,"Comercializadora Artesanal de Quiroga","Privada",16,"Michoacán de Ocampo",73,"Quiroga",1,"Quiroga","Berriozabal","Centro","58420","","","marcalvillobarriga@gmail.com; maxico1987@hotmail.com",-101.52479,19.66148,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=128","2025-06-10 11:15:00-06"
86,"Mujeres Artesanas de las Regiones de Oaxaca","María Aurora Martínez Ríos",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","Manuel García Vigil 204 int. 2","Centro","6800","","","mujeresartesanas_oax@hotmail.com",-96.7085,17.07615,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=86","2023-01-25 03:53:38-06"
278,"La Casa de las artesanías de Oaxaca","Manos Herederas del Arte, S.C. de R.L. de C.V.",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","Matamoros 105","Centro Histórico","68000","","https://lacasadelasartesaniasdeoaxaca.com/?fbclid=IwY2xjawFNOyZleHRuA2FlbQIxMAABHd3Y-n7sX8rSNriyqoWNl9T2j1qQcwn9wmUpEaIW3jCY1KeI61ehRYc8xg_aem_PD6DqKc8BuIsJNxxDQjdBg","casaarteoaxaca@gmail.com",-96.72505,17.06404,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=278","2024-09-10 08:48:09-06"
206,"Casa del Artesano Senen Mexic (Acatlán de Osorio)","Asociación de Artesanos, A.C.",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","Av. Juárez  8","Centro","74949","","","",-96.72528,17.05999,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=206","2021-04-10 10:13:39-05"
91,"Plaza comercial y cultura de las etnias","Artesanos de las Etnias, A.C.",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","García Vigil 304","Centro","68000","","","plazalasetnias@hotmail.com.cordova",-96.72,17.06778,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=91","2018-05-30 12:14:11-05"
42,"Casa de Artesanías del Instituto Oaxaqueño de las Artesanías","Gobierno del Estado de Oaxaca/Instituto Oaxaqueño de las Artesanías",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","García Vigil 809","Centro","68000","","www.ioa.oaxaca.gom.mx","ioa@e-oaxaca.gob.mx",-96.72755,17.0832,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=42","2018-05-29 14:39:01-05"
88,"Mercado de Artesanías de Oaxaca","Ayuntamiento del Estado de Oaxaca",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","J. P. García s/n esq. Zararagoza","Centro","68000","","","",-96.7224,17.07024,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=88","2018-05-30 10:42:06-05"
