fototeca_id,fototeca_nombre,fototeca_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,fototeca_calle_numero,fototeca_colonia,fototeca_cp,fototeca_telfono1,fototeca_pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
112,"Fototeca Constantino Reyes-Valerio","Secretaría de Cultura/INAH/Coordinación Nacional de Difusión, Sistema Nacional de Fototecas",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Correo Mayor 11","Centro Histórico","06060","","","fototeca.cnmh@inah.gob.mx; julieta_garcia@inah.gob.mx",-99.13004,19.43389,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=112","2024-03-19 11:24:58-06"
67,"Fototeca de la Coordinación Nacional de Literatura, Casa Leona Vicario","Secretaría de Cultura/INBAL/Coordinación Nacional de Literatura",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","República del Brasil 37 ","Centro Histórico","06020","","","acervos@inba.gob.mx; fototeca@inba.gob.mx",-99.13119,19.43986,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=67","2023-09-20 03:53:26-06"
130,"Fototeca de la Coordinación Nacional de Museos y Exposiciones del INAH","Secretaría de Cultura/INAH",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Hamburgo 135","Col. Juárez","06600","","","alejandra_ruano@inah.gob.mx",0.00027,-5.0E-5,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=130","2018-07-25 05:10:04-05"
80,"Archivo Histórico del Distrito Federal","",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","República de Chile 8","Centro Histórico","06010","","","ruiza@sni.conacyt.mx",-99.13626,19.43627,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=80","2018-08-01 06:54:36-05"
73,"Archivo Histórico y Biblioteca Central del Agua ","Comisión Nacional del Agua/Subdirección General de Planeación",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Balderas 94 ","Centro","06040","","","olga.manuel@conagua.gob.mx; ciagua@conagua.gob.mx",-99.14783,19.43098,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=73","2018-08-22 09:23:57-05"
72,"Archivo Histórico Citibanamex","Privado",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Isabel la Católica 44 esq. Venustiano Carranza 64","Centro Histórico","06000","","","carlos.fernando.coronatorres@citibanamex.com",-99.13651,19.43156,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=72","2018-08-10 06:45:51-05"
40,"Fototeca del Museo Nacional de Arte del INBA","Secretaría de Cultura/INBA",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Tacuba 8","Centro Histórico","06010","","","abigail.molleda@munal.inba.gob.mx",-99.13944,19.43633,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=40","2018-08-15 07:18:34-05"
146,"Fototeca de la Dirección de Salvamento Arqueológico ","Secretaría de Cultura/INAH",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Córdoba 45","Col. Roma Nte. ","06700","","","emmanuel_molina @inah.gob.mx",-99.15976,19.42315,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=146","2024-09-30 08:50:06-06"
117,"Fideicomiso Archivos Plutarco Elías Calles y Fernando Torreblanca","Fideicomiso Archivos Plutarco Elías Calles y Fernando Torreblanca",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Guadalajara 104","Roma Norte","06700","","","fapec@fapecft.org.mx",-99.17166,19.41629,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=117","2024-06-03 13:55:53-06"
74,"Fototeca del Archivo Histórico del Arzobispado de México","Arquidiócesis Primada de México, A.R.",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Durango 90, primer piso","Col. Roma","06700","","","info@arquidiocesismexico.org",-99.15919,19.42157,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=74","2024-07-11 13:24:25-06"
116,"Fototeca Amalia González Caballero","Secretaría de Relaciones Exteriores",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Av. Ricardo Flores Magón 2","Col. Guerrero","06300","","","dgahistorico@sre.gob.mx",-99.1374,19.44916,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=116","2024-05-06 14:11:59-06"
76,"Biblioteca Nacional de Antropología e Historia","Secretaría de Cultura/INAH",9,"Ciudad de México",16,"Miguel Hidalgo",1,"Miguel Hidalgo","Av. Paseo de la Reforma esq. Calz. Gandhi","Col. Polanco Chapultepec","11560","","","baltazar_brito@inah.gob.mx",-99.18608,19.4261,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=76","2021-11-10 08:39:56-06"
111,"Fototeca del Museo Nacional de Historia ","Secretaría de Cultura/INAH",9,"Ciudad de México",16,"Miguel Hidalgo",1,"Miguel Hidalgo","Bosque de Chapultepec, 1ª sección","Col. Polanco V sección","11560","","","fototeca.mnh@inah.gob.mx",-99.18204,19.42036,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=111","2024-05-03 12:05:35-06"
46,"Sala de Arte Público Siqueiros","Secretaría de Cultura/INBA",9,"Ciudad de México",16,"Miguel Hidalgo",1,"Miguel Hidalgo","Tres Picos 29","Col. Polanco","11560","","","saps.archivo@inba.gob.mx",-99.18737,19.42886,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=46","2018-07-18 06:20:29-05"
106,"Fototeca Etnográfica del Museo Nacional de Antropología del INAH","Secretaría de Cultura/INAH/Museo Nacional de Antropología",9,"Ciudad de México",16,"Miguel Hidalgo",1,"Miguel Hidalgo","Av. Paseo de la Reforma s/n esq. Gandhi","Col. Chapultepec Polanco","11560","","","arturo_gomez@inah.gob.mx",-99.18188,19.42545,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=106","2024-07-11 09:14:41-06"
60,"Museo de Arte Moderno del INBA","Secretaría de Cultura/INBA",9,"Ciudad de México",16,"Miguel Hidalgo",1,"Miguel Hidalgo","Paseo de la Reforma esq. Gandhi s/n","Col. Bosque de Chapultepec","11560","","","mam@correo.inba.gob.mx",-99.17948,19.42286,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=60","2021-11-10 08:40:17-06"
68,"Dirección de Antropología Física del INAH","Secretaría de Cultura/INAH",9,"Ciudad de México",16,"Miguel Hidalgo",1,"Miguel Hidalgo","Av. Paseo de la Reforma esq. Calz. Gandhi s/n","Col. Polanco Chapultepec","11560","","","dafinahga@gmail.com; dirantropofisica@inah.gob.mx ",-99.18605,19.42594,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=68","2024-02-19 07:48:56-06"
83,"Fototeca del Archivo General de la Nación","Secretaría de Gobernación",9,"Ciudad de México",17,"Venustiano Carranza",1,"Venustiano Carranza","Eduardo Molina 113","Col. Penitenciaría ","15350","","","argena@agn.gob.mx",-99.1129,19.43673,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=83","2018-07-17 08:36:19-05"
135,"Fototeca del Museo Regional de Durango - UJED","Universidad Juárez del Estado de Durango",10,"Durango",5,"Durango",1,"Victoria de Durango","Victoria 100 Sur","Centro","34000","","","museoregional@hotmail.com",-104.66971,24.02675,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=135","2018-07-17 04:40:52-05"
148,"Fototeca del Archivo Histórico del Estado de Durango","Dirección General del Archivo Histórico del Estado de Durango",10,"Durango",5,"Durango",1,"Victoria de Durango","Cerro de la Cruz 122","Fracc. Lomas del Guadiana","34110","","","miguel.vallebueno@durango.gob.mx",-104.67019,24.02399,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=148","2018-08-14 08:46:12-05"
136,"Fototeca del Archivo Histórico del Municipio de Durango","Ayuntamiento de Durango",10,"Durango",5,"Durango",1,"Victoria de Durango","Prol. Pino Suárez 1806","Col. J. Guadalupe Rodríguez","34100","","","archivo.general@municiíodurango.gob.mx",-104.63887,24.02648,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=136","2023-11-15 06:09:00-06"
48,"Fototeca Centro INAH Durango","Secretaría de Cultura/INAH",10,"Durango",5,"Durango",1,"Victoria de Durango","Av. 16 de Septiembre 130","Col. Silvestre Dorador","34070","","","cesar_rodriguez@inah.gob.mx; cesarrg93@gmail.com",-104.68209,24.03395,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=48","2024-11-15 11:57:39-06"
31,"Fototeca Romualdo García","Secretaría de Cultura/INAH",11,"Guanajuato",15,"Guanajuato",1,"Guanajuato","Mendizábal 6 ","Centro","36000","","","alhondigaservicios@hotmail.com",-101.25755,21.01884,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=31","2024-11-25 14:20:46-06"
93,"Archivo Histórico del Archivo General del Poder Ejecutivo de Guanajuato","Gobierno del Estado de Guanajuato",11,"Guanajuato",15,"Guanajuato",1,"Guanajuato","Alhóndiga e Insurgencia 1","Centro","36000","","","jegutierrezh@guanajuato.gob.mx",-101.2586,21.01969,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=93","2018-08-22 08:56:14-05"
29,"Archivo Histórico Municipal de Irapuato","Municipio de Irapuato",11,"Guanajuato",17,"Irapuato",1,"Irapuato","Allende 170","Centro Histórico","36500","","","archivoirapuato@yahoo.com.mx",-101.34963,20.67536,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=29","2018-08-14 05:58:32-05"
79,"Fototeca del Archivo Histórico Municipal de León","Ayuntamiento de León",11,"Guanajuato",20,"León",1,"León de los Aldama","Justo Sierra 216","Centro","37000","","","archivo.historico@leon.gob.mx",-101.68491,21.12116,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=79","2024-11-06 13:59:42-06"
35,"Archivo Histórico y Museo de Minería","",13,"Hidalgo",48,"Pachuca de Soto",1,"Pachuca de Soto","Francisco Javier Mina 110","Centro","42000","","","",-98.73129,20.12548,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=35","2018-07-16 06:41:45-05"
2,"Fototeca Nacional del INAH","Secretaría de Cultura/INAH",13,"Hidalgo",48,"Pachuca de Soto",1,"Pachuca de Soto","Casasola s/n, Ex convento de San Francisco","Exhacienda de Guadalupe","42000","","","fototecanacional@inah.gob.mx; sinafo@inah.gob.mx",-98.73162,20.12111,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=2","2024-10-25 14:46:32-06"
147,"Fototeca Centenario de la Revolución Mexicana","Poder Judicial del Estado de Hidalgo/Archivo Histórico",13,"Hidalgo",48,"Pachuca de Soto",1,"Pachuca de Soto","Carr. México-Pachuca km. 84.5","Sector Primario","42080","","","archistpj@gmail.com",-98.73694,20.12236,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=147","2018-08-07 07:20:05-05"
66,"Fototeca del Acervo Histórico del Archivo Municipal de Guadalajara","Ayuntamiento de Guadalajara, Jalisco",14,"Jalisco",39,"Guadalajara",1,"Guadalajara","Esmeralda 2486 ","Fracc. Verde Valle","44560","","","mramos@guadalajara.gob.mx; mistert63@outlook.com",0,0,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=66","2018-07-23 08:04:35-05"
36,"Fototeca de la Biblioteca Pública del Estado de Jalisco Juan José Arreola","Universidad de Guadalajara",14,"Jalisco",120,"Zapopan",1,"Zapopan","Perif.  Norte Manuel Gómez Morín núm. 1695","Col. Belenes","45100","","","ariadnag@redudg.udg.mx ",0,0,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=36","2018-08-24 06:03:28-05"
62,"Fototeca del Centro de Documentación e Investigación de la Comunidad Judío de México","Centro de Documentación e Investigación Judíos de México, A.C.",15,"México",57,"Naucalpan de Juárez",1,"Naucalpan de Juárez","Fuente de San Sulpicio 16","Col. Lomas de Tecamachalco","53950","","","contacto@cdijum.mx",-99.23821,19.42323,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=62","2018-07-18 07:34:04-05"
129,"Fototeca del Centro de Estudios Teotihuacanos","Secretaría de Cultura/INAH/Zona Arqueológica de Teotihuacán",15,"México",75,"San Martín de las Pirámides",31,"Cozotlán Norte","Edif. Centro de Estudios Teotihuacanos, Ex Museo Manuel Gamio, atrás de la Pirámide del Sol, Circuito Empedrado Puerta 5, Carretera México-Tulancingo Km 22 + 600","Zona arqueológica de Teotihuacán","55800","","","elisaasr@yahoo.com.mx",-98.86082,19.71209,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=129","2018-07-24 06:38:52-05"
50,"Fototeca del Museo Nacional del Virreinato","Secretaría de Cultura/INAH",15,"México",95,"Tepotzotlán",1,"Tepotzotlán","Plaza Hidalgo 99","Col. San Martín","54600","","","virreinato.museo@inah.gob.mx; jramonsolis@hotmail.com",-99.22166,19.71318,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=50","2025-04-23 14:50:06-06"
143,"Fototeca del Centro INAH Estado de México (CINAHEM)","Secretaría de Cultura/INAH",15,"México",106,"Toluca",1,"Toluca de Lerdo","Av. José Vicente Villada 107","Centro","50000","","","Araceli_tellechea@inah.gob.mx",-99.65831,19.28977,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=143","2024-07-12 09:59:48-06"
101,"Fototeca del Estado de Michoacán","Archivo General e Histórico del Poder Ejecutivo de Michoacán (AGHPEM)/Dirección de Archivos del Poder Ejecutivo de Michoacán",16,"Michoacán de Ocampo",53,"Morelia",1,"Morelia","Calle Corregidora 666","Colonia Centro","58000","","","dape@michoacán.gob.mx; centli6@hotmail.com",-101.19729,19.70119,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=101","2018-09-13 13:27:50-05"
38,"Fototeca de El Colegio de Michoacán","El Colegio de Michoacán, A.C.",16,"Michoacán de Ocampo",108,"Zamora",1,"Zamora de Hidalgo","Martínez de Navarrete 505","Fracc. Las Fuentes","59690","","","jramirez@colmich.edu.mx",-102.27988,19.97804,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=38","2018-07-18 05:40:35-05"
149,"Fototeca de Abel Quezada ","Abel Quezada, A.C.",17,"Morelos",7,"Cuernavaca",1,"Cuernavaca","Segunda Privada  de Palmira Casa 1","Col. Palmira","62490","","","abelquezadaac@gmail.com ",-99.23472,18.92178,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=149","2018-08-16 05:13:00-05"
18,"Fototeca Juan Dubernard del Centro INAH Morelos","Secretaría de Cultura/INAH",17,"Morelos",7,"Cuernavaca",1,"Cuernavaca","Matamoros 14","Col. Acapantzingo","62440","","","fototeca.mor@inah.gob.mx",-99.22366,18.90893,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=18","2024-02-23 07:25:01-06"
125,"Fototeca del Centro INAH Nayarit","Secretaría de Cultura/INAH",18,"Nayarit",17,"Tepic",1,"Tepic","Av. México 91 esq. Zapata","Centro","63000","","","direccion.nay@inah.gob.mx",-104.89242,21.51004,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=125","2024-06-04 12:01:38-06"
118,"Fototeca de Nuevo León","Consejo para la Cultura y las Artes de Nuevo León",19,"Nuevo León",39,"Monterrey",1,"Monterrey","Int. Parque Fundidora, Av. Fundidora s/n esq. Adolfo Prieto","Col. Obrera","64010","","","lpacheco@conarte.org.mx",-100.28437,25.67764,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=118","2018-07-25 08:03:31-05"
20,"Fototeca del Tecnológico de Monterrey","Tecnológico de Monterrey",19,"Nuevo León",39,"Monterrey",1,"Monterrey","Jesús Cantú Leal 1524, Campus Norte edif. D-191","Cerro de la Silla","64849","","","mbeltranbravo@tec.mx, fototeca.mty@servicios.itesm.mx",-99.22918,19.59338,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=20","2024-02-21 06:35:27-06"
22,"Centro Fotográfico Manuel Álvarez Bravo","Amigos del IAGO y del CFAB, A.C.",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","M. Bravo 116 esq. García Vigil","Centro Hístorico","68000","","","difusion.cfab@gmail.com",-96.72475,17.06498,"http://sic.gob.mx/ficha.php?table=fototeca&table_id=22","2022-02-01 07:58:29-06"
